"reviewid","label"
"22703","virgin"
"22721","hathenter"
"22659","static shock"
"22659","fashionable idiots"
"22661","kill rock stars"
"22661","mississippi"
"22725","teklife"
"22722","rca"
"22704","age 101"
"22694","stroboscopic artefacts"
"22714","warp"
"22724","roc nation"
"22715","important"
"22745","self-released"
"22700","pan"
"22720","awge"
"22720","a country called earth"
"22699","babygrande"
"22665","soul jazz"
"22666","cejero"
"22719","self-released"
"22667","leaving"
"22691","radio killa"
"22702","profound lore"
"22718","self-released"
"22706","northern spy"
"22695","p.w. elverum & sun"
"22713","bedroom community"
"22705","mercury"
"22532","polyvinyl"
"22701","pan"
"22707","challenge"
"22708","top dawg entertainment"
"22559","rhino"
"22692","1017 brick squad"
"22677","milan"
"22469","republic"
"22469","wicked awesome"
"22711","don giovanni"
"22678","columbia"
"22664","eremite"
"22685","fool's gold"
"22690","brutal honest"
"22689","empire"
"22689","brockhampton"
"22697","pan"
"22681","mau5trap"
"22698","hyperdub"
"22684","erased tapes"
"22693","new amsterdam"
"22686","republic"
"22643","columbia legacy"
"22640","drumma"
"22688","numbers"
"22696","roc nation"
"22696","dreamville"
"22663","legacy"
"22687","mom & pop"
"22662","glitterbeat"
"22317","columbia"
"22673","atlantic"
"22655","self-released"
"22593","numero group"
"22627","delicacies"
"22555","kompakt"
"22682","epic"
"22679","transgressive"
"22657","subtext"
"22654","reprise"
"22631","ume"
"22631","a&m"
"22683","fool's gold"
"22635","bel-air glamour records"
"22653","polydor"
"22672","1017 brick squad"
"22536","white material"
"22676","domino"
"22671","glassnote"
"22675","self-released"
"22680","vanner"
"22680","sony"
"22641","input"
"22645","columbia"
"22393","secretly canadian"
"22393","chimera"
"22660","ahead of our time"
"22553","reveal"
"22626","interscope"
"22626","tiny evil"
"22639","strut"
"22658","mexican summer"
"22638","slipdisc"
"22656","technicolour"
"22669","concord bicycle"
"22634","atlantic"
"22632","rett i fletta"
"22652","nna tapes"
"22674","hyperdub"
"22670","def jam"
"22646","triple crown"
