"reviewid","title","artist","url","score","best_new_music","author","author_type","pub_date","pub_weekday","pub_day","pub_month","pub_year"
"22703","mezzanine","massive attack","http://pitchfork.com/reviews/albums/22703-mezzanine/","9.3","0","nate patrin","contributor","2017-01-08","6","8","1","2017"
"22721","prelapsarian","krallice","http://pitchfork.com/reviews/albums/22721-prelapsarian/","7.9","0","zoe camp","contributor","2017-01-07","5","7","1","2017"
"22659","all of them naturals","uranium club","http://pitchfork.com/reviews/albums/22659-all-of-them-naturals/","7.3","0","david glickman","contributor","2017-01-07","5","7","1","2017"
"22661","first songs","kleenex, liliput","http://pitchfork.com/reviews/albums/22661-first-songs/","9.0","1","jenn pelly","associate reviews editor","2017-01-06","4","6","1","2017"
"22725","new start","taso","http://pitchfork.com/reviews/albums/22725-new-start/","8.1","0","kevin lozano","tracks coordinator","2017-01-06","4","6","1","2017"
"22722","insecure (music from the hbo original series)","various artists","http://pitchfork.com/reviews/albums/22722-insecure-music-from-the-hbo-original-series/","7.4","0","vanessa okoth-obbo","contributor","2017-01-05","3","5","1","2017"
"22704","stillness in wonderland","little simz","http://pitchfork.com/reviews/albums/22704-little-simz-stillness-in-wonderland/","7.1","0","katherine st. asaph","contributor","2017-01-05","3","5","1","2017"
"22694","tehillim","yotam avni","http://pitchfork.com/reviews/albums/22694-tehillim/","7.0","0","andy beta","contributor","2017-01-05","3","5","1","2017"
"22714","reflection","brian eno","http://pitchfork.com/reviews/albums/22714-reflection/","7.7","0","andy beta","contributor","2017-01-04","2","4","1","2017"
"22724","filthy america its beautiful","the lox","http://pitchfork.com/reviews/albums/22724-filthy-america-its-beautiful/","5.3","0","ian cohen","contributor","2017-01-04","2","4","1","2017"
"22715","clear sounds/perfetta","harry bertoia","http://pitchfork.com/reviews/albums/22715-clear-soundsperfetta/","8.0","0","marc masters","contributor","2017-01-04","2","4","1","2017"
"22745","run the jewels 3","run the jewels","http://pitchfork.com/reviews/albums/22745-run-the-jewels-3/","8.6","1","sheldon pearce","associate staff writer","2017-01-03","1","3","1","2017"
"22700","nadir","steven warwick","http://pitchfork.com/reviews/albums/22700-nadir/","7.6","0","thea ballard","contributor","2017-01-03","1","3","1","2017"
"22720","december 99th","yasiin bey","http://pitchfork.com/reviews/albums/22720-december-99th/","3.5","0","marcus j. moore","contributor","2017-01-02","0","2","1","2017"
"22699","don't smoke rock","smoke dza, pete rock","http://pitchfork.com/reviews/albums/22699-dont-smoke-rock/","7.4","0","dean van nguyen","contributor","2017-01-02","0","2","1","2017"
"22665","punk45: les punks: the french connection (the first wave of french punk 1977-80)","various artists","http://pitchfork.com/reviews/albums/22665-punk45-les-punks-the-french-connection-the-first-wave-of-french-punk-1977-80/","6.6","0","louis pattison","contributor","2017-01-02","0","2","1","2017"
"22666","brnshj (puncak)","senyawa","http://pitchfork.com/reviews/albums/22666-brnshj-puncak/","7.4","0","philip sherburne","contributing editor","2017-01-02","0","2","1","2017"
"22719","merry christmas lil mama","chance the rapper, jeremih","http://pitchfork.com/reviews/albums/22719-merry-christmas-lil-mama/","8.1","0","sheldon pearce","associate staff writer","2016-12-30","4","30","12","2016"
"22667","///// effectual","jamire williams","http://pitchfork.com/reviews/albums/22667-effectual/","7.2","0","benjamin scheim","contributor","2016-12-30","4","30","12","2016"
"22691","love you to death","the-dream","http://pitchfork.com/reviews/albums/22691-love-you-to-death/","7.0","0","rebecca haithcoat","contributor","2016-12-29","3","29","12","2016"
"22702","what graceless dawn","worm ouroboros","http://pitchfork.com/reviews/albums/22702-what-graceless-dawn/","7.5","0","sam sodomsky","associate staff writer","2016-12-29","3","29","12","2016"
"22718","not the actual events ep","nine inch nails","http://pitchfork.com/reviews/albums/22718-not-the-actual-events-ep/","6.3","0","benjamin scheim","contributor","2016-12-28","2","28","12","2016"
"22706","holy science","elder ones","http://pitchfork.com/reviews/albums/22706-holy-science/","7.8","0","seth colter walls","contributor","2016-12-28","2","28","12","2016"
"22695","early tapes, 1996-1998","the microphones","http://pitchfork.com/reviews/albums/22695-early-tapes-1996-1998/","6.5","0","benjamin scheim","contributor","2016-12-27","1","27","12","2016"
"22713","the wasp factory","ben frost","http://pitchfork.com/reviews/albums/22713-the-wasp-factory/","7.3","0","brian howe","contributor","2016-12-27","1","27","12","2016"
"22705","a very kacey christmas","kacey musgraves","http://pitchfork.com/reviews/albums/22705-a-very-kacey-christmas/","6.8","0","marc hogan","senior staff writer","2016-12-23","4","23","12","2016"
"22532","turn into","jay som","http://pitchfork.com/reviews/albums/22532-turn-into/","8.2","0","quinn moreland","assistant editor","2016-12-23","4","23","12","2016"
"22701","traditional music of notional species vol. ii","rashad becker","http://pitchfork.com/reviews/albums/22701-traditional-music-of-notional-species-vol-ii/","6.8","0","andy beta","contributor","2016-12-23","4","23","12","2016"
"22707","swiss radio days vol. 41 - zurich 1961","ray charles","http://pitchfork.com/reviews/albums/22707-swiss-radio-days-vol-41-zurich-1961/","9.0","1","seth colter-walls","contributor","2016-12-22","3","22","12","2016"
"22708","do what thou wilt.","ab-soul","http://pitchfork.com/reviews/albums/22708-do-what-thou-wilt/","4.4","0","sheldon pearce","associate staff writer","2016-12-22","3","22","12","2016"
"22559","the great southern trendkill","pantera","http://pitchfork.com/reviews/albums/22559-the-great-southern-trendkill-20th-anniversary-edition/","7.7","0","savy reyes-kulkarni","contributor","2016-12-22","3","22","12","2016"
"22692","the return of east atlanta santa","gucci mane","http://pitchfork.com/reviews/albums/22692-the-return-of-east-atlanta-santa/","7.6","0","renato pagnani","contributor","2016-12-21","2","21","12","2016"
